id_venta;fecha;id_cliente;nombre_cliente;email;medio_pago
1;45462;62;Guadalupe Romero;guadalupe.romero@mail.com;tarjeta
2;45368;49;Olivia Gomez;olivia.gomez@mail.com;qr
3;45304;20;Tomas Acosta;tomas.acosta@mail.com;tarjeta
4;45349;36;Martina Molina;martina.molina@mail.com;transferencia
5;45454;56;Bruno Diaz;bruno.diaz@mail.com;tarjeta
6;45417;91;Uma Sanchez;uma.sanchez@mail.com;transferencia
7;45418;92;Mariana Rodriguez;mariana.rodriguez@mail.com;efectivo
8;45297;66;Tomas Herrera;tomas.herrera@mail.com;transferencia
9;45311;86;Diego Torres;diego.torres@mail.com;efectivo
10;45440;52;Diego Diaz;diego.diaz@mail.com;qr
11;45392;20;Tomas Acosta;tomas.acosta@mail.com;qr
12;45471;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo
13;45315;6;Uma Medina;uma.medina@mail.com;tarjeta
14;45400;67;Ivana Romero;ivana.romero@mail.com;qr
15;45470;56;Bruno Diaz;bruno.diaz@mail.com;transferencia
16;45394;2;Nicolas Rojas;nicolas.rojas@mail.com;efectivo
17;45339;88;Felipe Castro;felipe.castro@mail.com;efectivo
18;45454;81;Camila Ruiz;camila.ruiz@mail.com;qr
19;45454;80;Gael Ruiz;gael.ruiz@mail.com;efectivo
20;45304;75;Santiago Castro;santiago.castro@mail.com;tarjeta
21;45462;10;Karina Acosta;karina.acosta@mail.com;transferencia
22;45420;64;Julian Alvarez;julian.alvarez@mail.com;transferencia
23;45428;78;Emilia Alvarez;emilia.alvarez@mail.com;transferencia
24;45457;55;Olivia Ruiz;olivia.ruiz@mail.com;tarjeta
25;45412;13;Ivana Sanchez;ivana.sanchez@mail.com;transferencia
26;45314;49;Olivia Gomez;olivia.gomez@mail.com;efectivo
27;45347;9;Yamila Molina;yamila.molina@mail.com;transferencia
28;45432;52;Diego Diaz;diego.diaz@mail.com;qr
29;45342;49;Olivia Gomez;olivia.gomez@mail.com;qr
30;45354;93;Gael Rojas;gael.rojas@mail.com;efectivo
31;45434;19;Uma Silva;uma.silva@mail.com;tarjeta
32;45321;31;Felipe Ruiz;felipe.ruiz@mail.com;efectivo
33;45335;6;Uma Medina;uma.medina@mail.com;efectivo
34;45304;58;Karina Acosta;karina.acosta2@mail.com;transferencia
35;45442;61;Guadalupe Martinez;guadalupe.martinez@mail.com;efectivo
36;45468;5;Agustina Flores;agustina.flores@mail.com;tarjeta
37;45429;57;Julian Acosta;julian.acosta@mail.com;qr
38;45441;56;Bruno Diaz;bruno.diaz@mail.com;tarjeta
39;45356;5;Agustina Flores;agustina.flores@mail.com;efectivo
40;45425;15;Tomas Ruiz;tomas.ruiz@mail.com;efectivo
41;45359;29;Diego Fernandez;diego.fernandez@mail.com;tarjeta
42;45400;12;Gael Gomez;gael.gomez@mail.com;tarjeta
43;45340;23;Helena Fernandez;helena.fernandez@mail.com;efectivo
44;45343;21;Elena Rodriguez;elena.rodriguez@mail.com;efectivo
45;45310;15;Tomas Ruiz;tomas.ruiz@mail.com;efectivo
46;45376;46;Agustina Martinez;agustina.martinez@mail.com;tarjeta
47;45416;52;Diego Diaz;diego.diaz@mail.com;transferencia
48;45317;84;Pablo Sanchez;pablo.sanchez@mail.com;qr
49;45445;5;Agustina Flores;agustina.flores@mail.com;efectivo
50;45300;8;Bruno Castro;bruno.castro@mail.com;transferencia
51;45340;39;Santiago Diaz;santiago.diaz@mail.com;efectivo
52;45412;5;Agustina Flores;agustina.flores@mail.com;tarjeta
53;45316;56;Bruno Diaz;bruno.diaz@mail.com;tarjeta
54;45377;1;Mariana Lopez;mariana.lopez@mail.com;tarjeta
55;45295;100;Agustina Lopez;agustina.lopez@mail.com;qr
56;45457;15;Tomas Ruiz;tomas.ruiz@mail.com;qr
57;45301;34;Bruno Castro;bruno.castro2@mail.com;efectivo
58;45326;48;Rocio Alvarez;rocio.alvarez@mail.com;transferencia
59;45410;62;Guadalupe Romero;guadalupe.romero@mail.com;tarjeta
60;45386;81;Camila Ruiz;camila.ruiz@mail.com;transferencia
61;45444;27;Tomas Castro;tomas.castro@mail.com;efectivo
62;45413;100;Agustina Lopez;agustina.lopez@mail.com;transferencia
63;45462;25;Karina Castro;karina.castro@mail.com;tarjeta
64;45358;58;Karina Acosta;karina.acosta2@mail.com;qr
65;45412;30;Ivana Medina;ivana.medina@mail.com;qr
66;45365;69;Felipe Flores;felipe.flores@mail.com;qr
67;45372;66;Tomas Herrera;tomas.herrera@mail.com;efectivo
68;45471;27;Tomas Castro;tomas.castro@mail.com;qr
69;45297;42;Tomas Flores;tomas.flores@mail.com;qr
70;45324;41;Elena Rodriguez;elena.rodriguez2@mail.com;transferencia
71;45445;40;Felipe Diaz;felipe.diaz@mail.com;qr
72;45339;26;Camila Sanchez;camila.sanchez@mail.com;qr
73;45428;42;Tomas Flores;tomas.flores@mail.com;transferencia
74;45408;56;Bruno Diaz;bruno.diaz@mail.com;efectivo
75;45435;61;Guadalupe Martinez;guadalupe.martinez@mail.com;qr
76;45427;75;Santiago Castro;santiago.castro@mail.com;tarjeta
77;45438;55;Olivia Ruiz;olivia.ruiz@mail.com;tarjeta
78;45411;12;Gael Gomez;gael.gomez@mail.com;qr
79;45449;57;Julian Acosta;julian.acosta@mail.com;qr
80;45376;54;Uma Herrera;uma.herrera@mail.com;efectivo
81;45360;49;Olivia Gomez;olivia.gomez@mail.com;transferencia
82;45316;19;Uma Silva;uma.silva@mail.com;tarjeta
83;45440;91;Uma Sanchez;uma.sanchez@mail.com;efectivo
84;45293;72;Camila Rodriguez;camila.rodriguez@mail.com;efectivo
85;45314;42;Tomas Flores;tomas.flores@mail.com;transferencia
86;45301;40;Felipe Diaz;felipe.diaz@mail.com;efectivo
87;45402;100;Agustina Lopez;agustina.lopez@mail.com;qr
88;45464;37;Martina Perez;martina.perez@mail.com;efectivo
89;45309;17;Pablo Gomez;pablo.gomez@mail.com;tarjeta
90;45299;46;Agustina Martinez;agustina.martinez@mail.com;qr
91;45341;39;Santiago Diaz;santiago.diaz@mail.com;efectivo
92;45331;42;Tomas Flores;tomas.flores@mail.com;transferencia
93;45320;90;Guadalupe Ruiz;guadalupe.ruiz@mail.com;efectivo
94;45357;41;Elena Rodriguez;elena.rodriguez2@mail.com;qr
95;45347;26;Camila Sanchez;camila.sanchez@mail.com;qr
96;45345;83;Franco Gomez;franco.gomez@mail.com;tarjeta
97;45459;39;Santiago Diaz;santiago.diaz@mail.com;efectivo
98;45303;43;Lucas Perez;lucas.perez@mail.com;transferencia
99;45364;51;Agustina Gomez;agustina.gomez@mail.com;transferencia
100;45451;69;Felipe Flores;felipe.flores@mail.com;qr
101;45379;72;Camila Rodriguez;camila.rodriguez@mail.com;efectivo
102;45380;18;Ivana Torres;ivana.torres@mail.com;efectivo
103;45362;39;Santiago Diaz;santiago.diaz@mail.com;efectivo
104;45460;86;Diego Torres;diego.torres@mail.com;qr
105;45328;1;Mariana Lopez;mariana.lopez@mail.com;transferencia
106;45375;82;Lucas Lopez;lucas.lopez@mail.com;transferencia
107;45433;14;Gael Martinez;gael.martinez@mail.com;efectivo
108;45376;9;Yamila Molina;yamila.molina@mail.com;tarjeta
109;45447;64;Julian Alvarez;julian.alvarez@mail.com;transferencia
110;45431;92;Mariana Rodriguez;mariana.rodriguez@mail.com;efectivo
111;45334;48;Rocio Alvarez;rocio.alvarez@mail.com;efectivo
112;45310;28;Rocio Silva;rocio.silva@mail.com;tarjeta
113;45359;98;Camila Castro;camila.castro@mail.com;transferencia
114;45417;16;Felipe Alvarez;felipe.alvarez@mail.com;qr
115;45338;3;Hernan Martinez;hernan.martinez@mail.com;transferencia
116;45369;25;Karina Castro;karina.castro@mail.com;qr
117;45365;72;Camila Rodriguez;camila.rodriguez@mail.com;tarjeta
118;45331;84;Pablo Sanchez;pablo.sanchez@mail.com;efectivo
119;45329;51;Agustina Gomez;agustina.gomez@mail.com;qr
120;45403;72;Camila Rodriguez;camila.rodriguez@mail.com;tarjeta
121;45462;25;Karina Castro;karina.castro@mail.com;tarjeta
122;45368;49;Olivia Gomez;olivia.gomez@mail.com;qr
123;45304;999;Cliente Fantasma;fantasma@mail.com;efectivo
124;45349;36;Martina Molina;martina.molina@mail.com;transferencia
125;45454;56;Bruno Diaz;bruno.diaz@mail.com;tarjta
126;45417;91;Uma Sanchez;uma.sanchez@mail.com;transferencia
127;45418;92;Mariana Rodriguez;mariana.rodriguez@mail.com;efecctivo
128;45297;66;Tomas Herrera;tomas.herrera@mail.com;transferencia
129;45311;86;Diego Torres;diego.torres@mail.com;efectivo
130;45440;52;Diego Diaz;diego.diaz@correo.com;qr
131;45392;20;Tomas Acosta;tomas.acosta@mail.com;qr
132;45471;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo
133;45471;96;Rocio Gonzalez;rocio.gonzalez@mail.com;efectivo
134;45394;2;Nicolas Rojas;nicolas.rojas@mail.com;bitcoin
135;45339;88;Felipe Castro;felipe.castro@mail.com;efectivo
136;45304;75;Santiago Castro;santiago.castro@mail.com;tarjeta
137;45462;10;Karina Acosta;karina.acosta@mail.com;transferencia
138;45420;64;Julian Alvarez;julian.alvarez@mail.com;transferencia
139;45428;78;Emilia Alvarez;emilia.alvarez@mail.com;transferencia
140;45457;55;Olivia Ruiz;olivia.ruiz@mail.com;tarjeta
141;45412;13;Ivana Sanchez;ivana.sanchez@mail.com;transferencia
142;45314;49;Olivia Gomez;olivia.gomez@mail.com;efectivo
143;45347;9;Yamila Molina;yamila.molina@mail.com;transferencia
144;45432;52;Diego Diaz;diego.diaz@mail.com;qr
145;45342;49;Olivia Gomez;olivia.gomez@mail.com;qr
146;45354;93;Gael Rojas;gael.rojas@mail.com;efectivo
147;45434;19;Uma Silva;uma.silva@mail.com;tarjeta
148;45321;31;Felipe Ruiz;felipe.ruiz@mail.com;efectivo
149;45335;6;Uma Medina;uma.medina@mail.com;efectivo
150;45304;58;Karina Acosta;karina.acosta2@mail.com;transferencia
151;45442;61;Guadalupe Martinez;guadalupe.martinez@mail.com;efectivo
152;45468;5;Agustina Flores;agustina.flores@mail.com;tarjeta
153;45429;57;Julian Acosta;julian.acosta@mail.com;qr
154;45441;56;Bruno Diaz;bruno.diaz@mail.com;tarjeta
155;45356;5;Agustina Flores;agustina.flores@mail.com;efectivo
156;45425;15;Tomas Ruiz;tomas.ruiz@mail.com;efectivo
157;45359;29;Diego Fernandez;diego.fernandez@mail.com;tarjeta
158;45400;12;Gael Gomez;gael.gomez@mail.com;tarjeta
159;45340;23;Helena Fernandez;helena.fernandez@mail.com;efectivo
160;45343;21;Elena Rodriguez;elena.rodriguez@mail.com;efectivo
161;45462;25;Karina Castro;karina.castro@mail.com;tarjeta
